phylum	class	order	family
Arthropoda	Insecta	Lepidoptera	Opostegidae
Arthropoda	Insecta	Lepidoptera	Papilionidae
Arthropoda	Insecta	Lepidoptera	Pieridae
Arthropoda	Insecta	Lepidoptera	Plutellidae
Arthropoda	Insecta	Lepidoptera	Praydidae
Arthropoda	Insecta	Lepidoptera	Prodoxidae
Arthropoda	Insecta	Lepidoptera	Psychidae
Arthropoda	Insecta	Lepidoptera	Pterolonchidae
Arthropoda	Insecta	Lepidoptera	Pterophoridae
Arthropoda	Insecta	Lepidoptera	Pyralidae
Arthropoda	Insecta	Lepidoptera	Riodinidae
Arthropoda	Insecta	Lepidoptera	Roeslerstammiidae
Arthropoda	Insecta	Lepidoptera	Saturniidae
Arthropoda	Insecta	Lepidoptera	Schreckensteiniidae
Arthropoda	Insecta	Lepidoptera	Scythrididae
Arthropoda	Insecta	Lepidoptera	Scythropiidae
Arthropoda	Insecta	Lepidoptera	Sesiidae
Arthropoda	Insecta	Lepidoptera	Somabrachyidae
Arthropoda	Insecta	Lepidoptera	Sphingidae
Arthropoda	Insecta	Lepidoptera	Stathmopodidae
Arthropoda	Insecta	Lepidoptera	Thyrididae
Arthropoda	Insecta	Lepidoptera	Tineidae
Arthropoda	Insecta	Lepidoptera	Tischeriidae
Arthropoda	Insecta	Lepidoptera	Tortricidae
Arthropoda	Insecta	Lepidoptera	Uraniidae
Arthropoda	Insecta	Lepidoptera	Urodidae
Arthropoda	Insecta	Lepidoptera	Yponomeutidae
Arthropoda	Insecta	Lepidoptera	Ypsolophidae
Arthropoda	Insecta	Lepidoptera	Zygaenidae
Arthropoda	Insecta	Lepidoptera	Crambidae
