phylum	class	order	family	species
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha lignosa
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha limbata
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha lutea
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha nigriceps
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha nigripes
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha nigriventris
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha testacea
Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha translucida
Arthropoda	Insecta	Coleoptera	Cantharidae	Silis nitidula
Arthropoda	Insecta	Coleoptera	Cantharidae	Silis ruficollis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Acanthocinus aedilis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Acanthocinus griseus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Acanthocinus reticulatus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Acanthocinus sachalinensis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Aegomorphus clavipes
Arthropoda	Insecta	Coleoptera	Cerambycidae	Aegomorphus francottei
Arthropoda	Insecta	Coleoptera	Cerambycidae	Aegosoma scabricorne
Arthropoda	Insecta	Coleoptera	Cerambycidae	Agapanthia amurensis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Agapanthia cardui
Arthropoda	Insecta	Coleoptera	Cerambycidae	Agapanthia daurica
Arthropoda	Insecta	Coleoptera	Cerambycidae	Agapanthia intermedia
Arthropoda	Insecta	Coleoptera	Cerambycidae	Agapanthia pannonica
Arthropoda	Insecta	Coleoptera	Cerambycidae	Agapanthia villosoviridescens
Arthropoda	Insecta	Coleoptera	Cerambycidae	Akimerus schaefferi
Arthropoda	Insecta	Coleoptera	Cerambycidae	Alosterna tabacicolor
Arthropoda	Insecta	Coleoptera	Cerambycidae	Amarysius altajensis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Anaesthetis testacea
Arthropoda	Insecta	Coleoptera	Cerambycidae	Anaglyptus gibbosus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Anaglyptus mysticus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Anastrangalia dubia
Arthropoda	Insecta	Coleoptera	Cerambycidae	Anastrangalia reyi
Arthropoda	Insecta	Coleoptera	Cerambycidae	Anastrangalia sanguinolenta
Arthropoda	Insecta	Coleoptera	Cerambycidae	Anastrangalia sequensi
Arthropoda	Insecta	Coleoptera	Cerambycidae	Anoplodera cyanea
Arthropoda	Insecta	Coleoptera	Cerambycidae	Anoplodera maculicornis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Anoplodera rufipes
Arthropoda	Insecta	Coleoptera	Cerambycidae	Anoplodera sexguttata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Anoplophora chinensis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Anoplophora glabripennis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Arhopaloscelis bifasciata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Arhopalus ferus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Arhopalus rusticus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Aromia bungii
Arthropoda	Insecta	Coleoptera	Cerambycidae	Aromia moschata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Asemum striatum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Axinopalpis gracilis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Brachyta bifasciata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Brachyta interrogationis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Brachyta sachalinensis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Calamobius filum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Calchaenesthes oblongomaculata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Callidiellum rufipenne
Arthropoda	Insecta	Coleoptera	Cerambycidae	Callidium aeneum
