species	marker_code	kingdom
Hystricosoma chappuisi	COI-5P	Animalia
Tubeufia stromaticola	COI-5P	Animalia
Trouessartia reguli	COI-5P	Animalia
Ornithobius bucephalus	COI-5P	Animalia
Rubus immodicus	COI-5P	Animalia
Rubus cardiophyllus	COI-5P	Animalia
Hexarthrum exiguum	COI-5P	Animalia
Megarhyssa vagatoria	COI-5P	Animalia
Synopeas curvicauda	COI-5P	Animalia
Androlaelaps fenilis	COI-5P	Animalia
Pieris japonica	COI-5P	Animalia
Rhodotypos scandens	COI-5P	Animalia
Trachymene pilosa	COI-5P	Animalia
Phyllocoptes malinus	COI-5P	Animalia
"	COI-5P	Animalia
Diphyllobothrium stemmacephalum	COI-5P	Animalia
Mycena hawaiiensis	COI-5P	Animalia
Acrotona benicki	COI-5P	Animalia
Corynoptera saccata	COI-5P	Animalia
Rubus canadensis	COI-5P	Animalia
Saemundssonia lari	COI-5P	Animalia
Simulium angustitarse	COI-5P	Animalia
Caulleriella alata	COI-5P	Animalia
Numida meleagris	COI-5P	Animalia
Murchieona muldali	COI-5P	Animalia
Pullimosina moesta	COI-5P	Animalia
Psilostomum brevicolle	COI-5P	Animalia
Heliopsis helianthoides	COI-5P	Animalia
Chaetocladius femineus	COI-5P	Animalia
Chaenomeles superba	COI-5P	Animalia
Bosmina cornuta	COI-5P	Animalia
Gonatopus pedestris	COI-5P	Animalia
Rickia wasmannii	COI-5P	Animalia
Ophryocotyle proteus	COI-5P	Animalia
Viola obliqua	COI-5P	Animalia
Oxypoda lurida	COI-5P	Animalia
Philopterus fortunatus	COI-5P	Animalia
Comatricha pulchella	COI-5P	Animalia
Coryne vanbenedeni	COI-5P	Animalia
Arcyria magna	COI-5P	Animalia
Malus baccata	COI-5P	Animalia
Coleophora gallipennella	COI-5P	Animalia
Antennoseius bacatus	COI-5P	Animalia
Gastrallus knizeki	COI-5P	Animalia
Netta peposaca	COI-5P	Animalia
Megaloscapa punctipennis	COI-5P	Animalia
Dyroderes umbraculatus	COI-5P	Animalia
Corynoptera furcata	COI-5P	Animalia
Ascodichaena rugosa	COI-5P	Animalia
Cylindromyia bicolor	COI-5P	Animalia
Euura nigritarsis	COI-5P	Animalia
Pholetesor laetus	COI-5P	Animalia
Ennucula tenuis	COI-5P	Animalia
Gilquinia squali	COI-5P	Animalia
Proturentomon discretum	COI-5P	Animalia
Caradrina gilva	COI-5P	Animalia
Kerria japonica	COI-5P	Animalia
Pyxidiophora grovei	COI-5P	Animalia
Rubus buhnensis	COI-5P	Animalia
Stictis dissociativus	COI-5P	Animalia
Dendrocopos major	COI-5P	Animalia
Onychoprion anaethetus	COI-5P	Animalia
Clambus nigriclavis	COI-5P	Animalia
Apus affinis	COI-5P	Animalia
Cladonia carneola	COI-5P	Animalia
Debloria etaplesensis	COI-5P	Animalia
Verbascum sinuatum	COI-5P	Animalia
Werneckiella ocellata	COI-5P	Animalia
Actinidia chinensis	COI-5P	Animalia
Phylloscopus trochilus	COI-5P	Animalia
Aedes atropalpus	COI-5P	Animalia
Daucus pusillus	COI-5P	Animalia
Multidentorhodacarus denticulatus	COI-5P	Animalia
Sclerencoelia fraxinicola	COI-5P	Animalia
Echinolepis carioca	COI-5P	Animalia
Pulmonaria tuberosa	COI-5P	Animalia
"	COI-5P	Animalia
Lichenochora verrucicola	COI-5P	Animalia
Pacificincola perforata	COI-5P	Animalia
Pterostichus burmeisteri	COI-5P	Animalia
Psammodrilus balanoglossoides	COI-5P	Animalia
Rhizostoma octopus	COI-5P	Animalia
Pseudolycoriella koreensis	COI-5P	Animalia
Ascobolus hawaiiensis	COI-5P	Animalia
Linaria aeruginea	COI-5P	Animalia
Mixorthezia reynei	COI-5P	Animalia
Bursaphelenchus xylophilus	COI-5P	Animalia
Spilostethus pandurus	COI-5P	Animalia
Leucophora obtusa	COI-5P	Animalia
Cecidophyes psilocranus	COI-5P	Animalia
Callopistromyia annulipes	COI-5P	Animalia
Taraxacum brabanticum	COI-5P	Animalia
Athalia longifoliae	COI-5P	Animalia
Batocera calanus	COI-5P	Animalia
Saemundssonia clayae	COI-5P	Animalia
Xanthoparmelia microspora	COI-5P	Animalia
Mytilina videns	COI-5P	Animalia
Lonicera nitida	COI-5P	Animalia
Ludwigia peploides	COI-5P	Animalia
Limnesia marmorata	COI-5P	Animalia
Taenia saginata	COI-5P	Animalia
Monopylidium musculosum	COI-5P	Animalia
Anopheles deaneorum	COI-5P	Animalia
Sylvia cantillans	COI-5P	Animalia
Mosgovoyia pectinata	COI-5P	Animalia
Dienerella costulata	COI-5P	Animalia
Deutzia parviflora	COI-5P	Animalia
Abrachyglossum capitatum	COI-5P	Animalia
Ara macao	COI-5P	Animalia
Scolopendrellopsis subnuda	COI-5P	Animalia
Vulpia octoflora	COI-5P	Animalia
Linaria triphylla	COI-5P	Animalia
Brachiaria eruciformis	COI-5P	Animalia
Cyathostomum pateratum	COI-5P	Animalia
Serendipita evanescens	COI-5P	Animalia
Niphargus stygius 10.4	COI-5P	Animalia
Melichares agilis	COI-5P	Animalia
Ardeicola leucoproctus	COI-5P	Animalia
Galium verrucosum	COI-5P	Animalia
Orobanche flava	COI-5P	Animalia
Phyllocolpa prussica	COI-5P	Animalia
Clepsis peritana	COI-5P	Animalia
Ascaridia platyceri	COI-5P	Animalia
Ameroseius corbiculus	COI-5P	Animalia
Perilissus dissimilitor	COI-5P	Animalia
Chimaphila umbellata	COI-5P	Animalia
Pratylenchus brachyurus	COI-5P	Animalia
Brachycolus cucubali	COI-5P	Animalia
Hysterangium clathroides	COI-5P	Animalia
Carex acuta	COI-5P	Animalia
Rodentolepis nana	COI-5P	Animalia
Sinoxylon muricatum	COI-5P	Animalia
Nymphicus hollandicus	COI-5P	Animalia
"	COI-5P	Animalia
Ecnomus deceptor	COI-5P	Animalia
Lecane ludwigii ohioensis	COI-5P	Animalia
Neophilopterus tricolor	COI-5P	Animalia
Choanotaenia infundibulum	COI-5P	Animalia
Chanoma vorbringeri	COI-5P	Animalia
Betula papyrifera	COI-5P	Animalia
Isotoma axillaris	COI-5P	Animalia
Spirorbis tridentatus	COI-5P	Animalia
Calamobius filum	COI-5P	Animalia
Glycyphagus domesticus	COI-5P	Animalia
Halictophagus agalliae	COI-5P	Animalia
Mesocestoides lineatus	COI-5P	Animalia
Gymnophallus deliciosus	COI-5P	Animalia
Trichopoda pennipes	COI-5P	Animalia
Halisarca dujardinii	COI-5P	Animalia
Taraxacum horridifrons	COI-5P	Animalia
Coleophora saponariella	COI-5P	Animalia
Rubus praticolor	COI-5P	Animalia
Cosmoconus meridionator	COI-5P	Animalia
Omphalina praticola	COI-5P	Animalia
Telmatogeton pectinatus	COI-5P	Animalia
Pherbellia austera	COI-5P	Animalia
Podosphaera ferruginea	COI-5P	Animalia
Calceolaria tripartita	COI-5P	Animalia
Goniocotes chrysocephalus	COI-5P	Animalia
Oscarella lobularis	COI-5P	Animalia
Icius subinermis	COI-5P	Animalia
Populus suaveolens	COI-5P	Animalia
Sedum ochroleucum	COI-5P	Animalia
Latrodectus mactans	COI-5P	Animalia
Taraxacum infuscatum	COI-5P	Animalia
Cortinarius rubrovioleipes	COI-5P	Animalia
Conomelus lorifer	COI-5P	Animalia
Mycoporellum sacromontanum	COI-5P	Animalia
Taraxacum replicatum	COI-5P	Animalia
Rhodacarus agrestis	COI-5P	Animalia
Trachyuropoda formicaria	COI-5P	Animalia
Callidiellum rufipenne	COI-5P	Animalia
Diastylis goodsiri	COI-5P	Animalia
Barbarea rupicola	COI-5P	Animalia
Comatricha laxa	COI-5P	Animalia
Larus argentatus	COI-5P	Animalia
Encentrum gulo	COI-5P	Animalia
Zelus renardii	COI-5P	Animalia
Athetis hospes	COI-5P	Animalia
Gonocephalum rusticum	COI-5P	Animalia
Protaphorura subuliginata	COI-5P	Animalia
Calidris alpina	COI-5P	Animalia
Coccotrypes dactyliperda	COI-5P	Animalia
Limosa	COI-5P	Animalia
Zoropsis spinimana	COI-5P	Animalia
Chelone glabra	COI-5P	Animalia
Lamennaisia nobilis	COI-5P	Animalia
Cerodontha spencerae	COI-5P	Animalia
Eteone longa	COI-5P	Animalia
Bathytoma tippetti	COI-5P	Animalia
Ctenochares bicolorus	COI-5P	Animalia
Montia fontana	COI-5P	Animalia
Juniperus sabina	COI-5P	Animalia
Calycellina alniella	COI-5P	Animalia
Agapanthia cardui	COI-5P	Animalia
Leptorhaphis laricis	COI-5P	Animalia
Glossiphonia concolor	COI-5P	Animalia
Isoetes setacea	COI-5P	Animalia
Pseudotomentella umbrina	COI-5P	Animalia
Tomentellopsis zygodesmoides	COI-5P	Animalia
Downingia pulchella	COI-5P	Animalia
Cellepora pumicosa	COI-5P	Animalia
Microtendipes britteni	COI-5P	Animalia
Bolbosoma vasculosum	COI-5P	Animalia
Certhia familiaris	COI-5P	Animalia
Anagallis monelli	COI-5P	Animalia
Catharus minimus	COI-5P	Animalia
Marphysa sanguinea	COI-5P	Animalia
Campoplex dubitator	COI-5P	Animalia
Gelis micrurus	COI-5P	Animalia
Silometopus ambiguus	COI-5P	Animalia
Stichomyces conosomatis	COI-5P	Animalia
Phalacrocorax carbo	COI-5P	Animalia
Fimbriaria fasciolaris	COI-5P	Animalia
Veigaia kochi	COI-5P	Animalia
Ilex meserveae	COI-5P	Animalia
Streptopelia risoria	COI-5P	Animalia
Diplotaxis wirtgenii	COI-5P	Animalia
Phacelia minor	COI-5P	Animalia
Setaria villosissima	COI-5P	Animalia
Thaumastoptera calceata	COI-5P	Animalia
Polycera faeroensis	COI-5P	Animalia
Hydrozetes parisiensis	COI-5P	Animalia
Gregorella humida	COI-5P	Animalia
Disporella hispida	COI-5P	Animalia
Cardiocephaloides longicollis	COI-5P	Animalia
Ditropsis flavipes	COI-5P	Animalia
Copidognathus tectiporus	COI-5P	Animalia
Stator bixae	COI-5P	Animalia
Koeleria cristata	COI-5P	Animalia
Larus glaucoides	COI-5P	Animalia
Aploparaksis crassirostris	COI-5P	Animalia
Microsomacanthus abortiva	COI-5P	Animalia
Lecithodendrium linstowi	COI-5P	Animalia
Campanula lactiflora	COI-5P	Animalia
Ripersiella planetica	COI-5P	Animalia
Anthodiplosis rudimentalis	COI-5P	Animalia
Sarcodon leucopus	COI-5P	Animalia
Panimerus maynei	COI-5P	Animalia
Bacidia arnoldiana	COI-5P	Animalia
Ergasilus osmeri	COI-5P	Animalia
Tryphosites longipes	COI-5P	Animalia
Cerastium nemorale	COI-5P	Animalia
Triodontophorus minor	COI-5P	Animalia
Bactericera substriola	COI-5P	Animalia
Lytogaster abdominalis	COI-5P	Animalia
Ophiola ocellaris	COI-5P	Animalia
Chenopodium desiccatum	COI-5P	Animalia
Taraxacum dilatatum	COI-5P	Animalia
Acanthus mollis	COI-5P	Animalia
Platycis minutus	COI-5P	Animalia
Rubus langei	COI-5P	Animalia
Ampelisca diadema	COI-5P	Animalia
Adelphacarus sellnicki	COI-5P	Animalia
Isostasius punctiger	COI-5P	Animalia
Bromopsis riparia	COI-5P	Animalia
Ascidia mentula	COI-5P	Animalia
Cicadula placida	COI-5P	Animalia
Cirriformia tentaculata	COI-5P	Animalia
Anopheles deaneorum	COI-5P	Animalia
Macrocheles nataliae	COI-5P	Animalia
Pherbellia obtusa	COI-5P	Animalia
Epithamnolia brevicladoniae	COI-5P	Animalia
Gentiana clusii	COI-5P	Animalia
Nemophila maculata	COI-5P	Animalia
Conocybe rostellata	COI-5P	Animalia
Rubus crassidens	COI-5P	Animalia
Tanytarsus volgensis	COI-5P	Animalia
Aethionema arabicum	COI-5P	Animalia
Antalis entalis	COI-5P	Animalia
Larus glaucoides thayeri	COI-5P	Animalia
Cinara confinis	COI-5P	Animalia
Eurytemora hirundo	COI-5P	Animalia
Mycosphaerella cirsii-arvensis	COI-5P	Animalia
Ascia monuste	COI-5P	Animalia
Melampsoridium hiratsukanum	COI-5P	Animalia
Neopteronyssus pici	COI-5P	Animalia
Eteone spetsbergensis	COI-5P	Animalia
Holoparasitus calcaratus	COI-5P	Animalia
Liochthonius lapponicus	COI-5P	Animalia
Harrietella simulans	COI-5P	Animalia
Acaudaleyrodes africanus	COI-5P	Animalia
Chironomus holomelas	COI-5P	Animalia
Taraxacum trigonum	COI-5P	Animalia
Ichoronyssus biarcuatus	COI-5P	Animalia
Tycherus kuhmoensis	COI-5P	Animalia
Teucrium divaricatum	COI-5P	Animalia
Parasitus lunulatus	COI-5P	Animalia
Eremopoa persica	COI-5P	Animalia
Micropsectra radialis	COI-5P	Animalia
Hydraena tatii	COI-5P	Animalia
Thinoseius spinosus	COI-5P	Animalia
Triodontophorus tenuicollis	COI-5P	Animalia
Schizothecium simile	COI-5P	Animalia
Ribes cynosbati	COI-5P	Animalia
Vitula edmandsii	COI-5P	Animalia
Tulasnella violea	COI-5P	Animalia
Opostega spatulella	COI-5P	Animalia
Echthrus reluctator	COI-5P	Animalia
Drapetis bruscellensis	COI-5P	Animalia
Ampharete lindstroemi	COI-5P	Animalia
Temnothorax schaumii	COI-5P	Animalia
Parapholis incurva	COI-5P	Animalia
Fibigia clypeata	COI-5P	Animalia
Xanthogramma dives	COI-5P	Animalia
Histiostoma berghi	COI-5P	Animalia
Spilothyrateles illuminatorius	COI-5P	Animalia
Enarthrocarpus lyratus	COI-5P	Animalia
Rhyacodrilus punctatus	COI-5P	Animalia
Chersodromia beckeri	COI-5P	Animalia
Candelaria pacifica	COI-5P	Animalia
Rubus incarnatus	COI-5P	Animalia
Taraxacum parnassicum	COI-5P	Animalia
Icerya purchasi	COI-5P	Animalia
Erigeron speciosus	COI-5P	Animalia
Acalypha virginica	COI-5P	Animalia
Trichouropoda spatulifera	COI-5P	Animalia
Monoblastus marginellus	COI-5P	Animalia
Geopora semi-immersa	COI-5P	Animalia
Planococcus minor	COI-5P	Animalia
Rubus latiarcuatus	COI-5P	Animalia
Lyophyllum tomentellum	COI-5P	Animalia
Sciurus carolinensis	COI-5P	Animalia
Amorpha fruticosa	COI-5P	Animalia
Malva clementii	COI-5P	Animalia
Rubus erinulus	COI-5P	Animalia
Taraxacum hamatum	COI-5P	Animalia
Puccinia longicornis	COI-5P	Animalia
Chirodiscoides caviae	COI-5P	Animalia
Taraxacum ampelophytum	COI-5P	Animalia
Didymium muscorum	COI-5P	Animalia
Scleroderma polyrhizum	COI-5P	Animalia
Lonicera involucrata	COI-5P	Animalia
Ismarus flavicornis	COI-5P	Animalia
Limotettix atricapillus	COI-5P	Animalia
Silene viscosa	COI-5P	Animalia
Callistephus chinensis	COI-5P	Animalia
Toxascaris leonina	COI-5P	Animalia
Ganoderma adspersum	COI-5P	Animalia
Malus spectabilis	COI-5P	Animalia
Taraxacum hemicyclum	COI-5P	Animalia
Symmoca signatella	COI-5P	Animalia
Tomentella sublilacina	COI-5P	Animalia
Vallisneria australis	COI-5P	Animalia
Pseudolachnea hispidula	COI-5P	Animalia
Lactarius resimus	COI-5P	Animalia
Eragrostis barrelieri	COI-5P	Animalia
Faxonius juvenilis	COI-5P	Animalia
Entoloma cuboidoalbum	COI-5P	Animalia
Conocybe pilosella	COI-5P	Animalia
Micarea herbarum	COI-5P	Animalia
Eulaelaps stabularis	COI-5P	Animalia
Salix rosmarinifolia	COI-5P	Animalia
Erigeron aurantiacus	COI-5P	Animalia
Planetella fischeri	COI-5P	Animalia
Tubifex montanus	COI-5P	Animalia
Tilia tomentosa	COI-5P	Animalia
Taraxacum ooststroomii	COI-5P	Animalia
Tuponia mixticolor	COI-5P	Animalia
Notholca salina	COI-5P	Animalia
Ploesoma triacantha	COI-5P	Animalia
Pelargonium zonale	COI-5P	Animalia
Hermannia nodosa	COI-5P	Animalia
Suctobelbella similis	COI-5P	Animalia
"	COI-5P	Animalia
Paragamasus wasmanni	COI-5P	Animalia
Cotoneaster watereri	COI-5P	Animalia
Lasioseius mirabilis	COI-5P	Animalia
Tersilochus lapponicus	COI-5P	Animalia
Mola tecta	COI-5P	Animalia
"	COI-5P	Animalia
Meum athamanticum	COI-5P	Animalia
Thyasira flexuosa	COI-5P	Animalia
Trichia sordida	COI-5P	Animalia
Myriophyllum rubricaule	COI-5P	Animalia
"	COI-5P	Animalia
Xenoryctes krameri	COI-5P	Animalia
Donsiella limnoriae	COI-5P	Animalia
Microppia minus	COI-5P	Animalia
Nyctereutes procyonoides	COI-5P	Animalia
Cerodontha zuskai	COI-5P	Animalia
Calycellina leucella	COI-5P	Animalia
Taraxacum agaurum	COI-5P	Animalia
Petunia punctata	COI-5P	Animalia
Grypocentrus cinctellus	COI-5P	Animalia
Anacyclus clavatus	COI-5P	Animalia
Acteon tornatilis	COI-5P	Animalia
Demodex lacrimalis	COI-5P	Animalia
Scoletoma tetraura	COI-5P	Animalia
Macrosiphum albifrons	COI-5P	Animalia
Kalopanax septemlobus	COI-5P	Animalia
Liguropia juniperi	COI-5P	Animalia
Helcostizus restaurator	COI-5P	Animalia
Typhula ovata	COI-5P	Animalia
Camisia horrida	COI-5P	Animalia
Parepidosis arctuata	COI-5P	Animalia
Paraphaenocladius voltheus	COI-5P	Animalia
Acanthococcus coccineus	COI-5P	Animalia
Oppiella uliginosa	COI-5P	Animalia
Tisbe furcata	COI-5P	Animalia
Berberis verruculosa	COI-5P	Animalia
Molgula occulta	COI-5P	Animalia
Pagurus forbesii	COI-5P	Animalia
Suillus tridentinus	COI-5P	Animalia
Trichosphaerella ceratophora	COI-5P	Animalia
Hyalorbilia erythrostigma	COI-5P	Animalia
Tectocepheus alatus	COI-5P	Animalia
Aegilops neglecta	COI-5P	Animalia
Aonides paucibranchiata	COI-5P	Animalia
Chenopodium urbicum	COI-5P	Animalia
Rubus schleicheri	COI-5P	Animalia
Anthidium septemspinosum	COI-5P	Animalia
Olesicampe flavicornis	COI-5P	Animalia
Carex justi-schmidtii	COI-5P	Animalia
Oligota picipes	COI-5P	Animalia
Chalazion erinaceum	COI-5P	Animalia
Sinelobus stanfordi	COI-5P	Animalia
Halocladius fucicola	COI-5P	Animalia
Spiniglans constricta	COI-5P	Animalia
Coccus hesperidum	COI-5P	Animalia
Cleruchus szelenyi	COI-5P	Animalia
Meoneura atoma	COI-5P	Animalia
Lecanora albellula	COI-5P	Animalia
Scatopsciara bucera	COI-5P	Animalia
Molineus patens	COI-5P	Animalia
Adelodrilus pusillus	COI-5P	Animalia
Stegania cararia	COI-5P	Animalia
Schizoxylon ligustri	COI-5P	Animalia
Olios argelasius	COI-5P	Animalia
Thelidium pyrenophorum	COI-5P	Animalia
Fuscidea mollis	COI-5P	Animalia
Micropsectra klinki	COI-5P	Animalia
Mezium affine	COI-5P	Animalia
Gasteruption diversipes	COI-5P	Animalia
Passerilepis crenata	COI-5P	Animalia
Euophryum rufum	COI-5P	Animalia
Atheta miniscula	COI-5P	Animalia
Calidris mauri	COI-5P	Animalia
Althaea cannabina	COI-5P	Animalia
Pergamasus alpinus	COI-5P	Animalia
Metamasius hemipterus	COI-5P	Animalia
Ochetostethus nanus	COI-5P	Animalia
Landoltia punctata	COI-5P	Animalia
Lathrostizus macrostoma	COI-5P	Animalia
Phytoptus abnormis	COI-5P	Animalia
Entoloma festivum	COI-5P	Animalia
Sida rhombifolia	COI-5P	Animalia
Taphrophila cornu-capreoli	COI-5P	Animalia
Aphalara maculipennis	COI-5P	Animalia
Erigeron caucasicus	COI-5P	Animalia
Hygrocybe turunda	COI-5P	Animalia
Dactylotrypes longicollis	COI-5P	Animalia
Menacanthus eurysternus	COI-5P	Animalia
Byrrhus luniger	COI-5P	Animalia
Sennertia cerambycina	COI-5P	Animalia
Nacerdes carniolica	COI-5P	Animalia
Chyromya miladae	COI-5P	Animalia
Aquila adalberti	COI-5P	Animalia
Tanytarsus lactescens	COI-5P	Animalia
Hanseniella caldaria	COI-5P	Animalia
Paramphistomum leydeni	COI-5P	Animalia
Sobolevicanthus gracilis	COI-5P	Animalia
Codonocephalus urniger	COI-5P	Animalia
Lecane opias	COI-5P	Animalia
Mycetoporus erichsonanus	COI-5P	Animalia
Simulium lineatum	COI-5P	Animalia
Phyllocolpa alienata	COI-5P	Animalia
Myrianida prolifera	COI-5P	Animalia
Gibbaranea ullrichi	COI-5P	Animalia
Nycteola asiatica	COI-5P	Animalia
Dryobates minor	COI-5P	Animalia
Liposcelis bostrichophila	COI-5P	Animalia
Taraxacum luteoviride	COI-5P	Animalia
Saemundssonia cephala	COI-5P	Animalia
Clerus mutillarius	COI-5P	Animalia
Apethymus apicalis	COI-5P	Animalia
Philopterus turdi	COI-5P	Animalia
Delairea odorata	COI-5P	Animalia
Pelonaia corrugata	COI-5P	Animalia
Dicaelotus punctiventris	COI-5P	Animalia
Glyphognathus laevigatus	COI-5P	Animalia
Monochamus urussovii	COI-5P	Animalia
Juncus acutus	COI-5P	Animalia
Leiobunum limbatum	COI-5P	Animalia
Stigmidium microspilum	COI-5P	Animalia
Pammene herrichiana	COI-5P	Animalia
Tropaeolum majus	COI-5P	Animalia
Veigaia serrata	COI-5P	Animalia
Dysphania carinata	COI-5P	Animalia
Aesculus flava	COI-5P	Animalia
Tetramesa variae	COI-5P	Animalia
Acer cappadocicum	COI-5P	Animalia
Tuponia hippophaes	COI-5P	Animalia
Bombylius posticus	COI-5P	Animalia
Taraxacum planum	COI-5P	Animalia
Monochamus sartor	COI-5P	Animalia
Pamphilius kontuniemii	COI-5P	Animalia
Laboulbenia leisti	COI-5P	Animalia
Lasius carniolicus	COI-5P	Animalia
Anser albifrons	COI-5P	Animalia
Rubus gratus	COI-5P	Animalia
Myrsidea anaspila	COI-5P	Animalia
Crossopalpus minimus	COI-5P	Animalia
Puccinellia mixta	COI-5P	Animalia
Taraxacum lingulatum	COI-5P	Animalia
Vanellus cinereus	COI-5P	Animalia
Lecane nana	COI-5P	Animalia
Gabrius austriacus	COI-5P	Animalia
Resupinatus applicatus	COI-5P	Animalia
Centrorhynchus buteonis	COI-5P	Animalia
Aceria subtilis	COI-5P	Animalia
Euphorbia prostrata	COI-5P	Animalia
Trionymus bambusae	COI-5P	Animalia
Buteo	COI-5P	Animalia
Lepraria eburnea	COI-5P	Animalia
Meloboris alternans	COI-5P	Animalia
Heligmosomoides glareoli	COI-5P	Animalia
Gonolobus niger	COI-5P	Animalia
Primula tommasinii	COI-5P	Animalia
Caligus curtus	COI-5P	Animalia
Proctolaelaps cossi	COI-5P	Animalia
Ricinus elongatus	COI-5P	Animalia
Motacilla cinereocapilla	COI-5P	Animalia
Cercidospora macrospora	COI-5P	Animalia
Unaspis euonymi	COI-5P	Animalia
Philopterus curvirostrae	COI-5P	Animalia
Micranurida granulata	COI-5P	Animalia
Lichenochora weillii	COI-5P	Animalia
Lotus hispidus	COI-5P	Animalia
Absyrtus vernalis	COI-5P	Animalia
Russula sardonia	COI-5P	Animalia
Onygena equina	COI-5P	Animalia
Ostrea edulis	COI-5P	Animalia
Velella	COI-5P	Animalia
Tringa totanus	COI-5P	Animalia
Pachnoda marginata	COI-5P	Animalia
Daedaleopsis confragosa	COI-5P	Animalia
Lepidoglyphus burchanensis	COI-5P	Animalia
Bradysia confinis	COI-5P	Animalia
Cheiracanthium montanum	COI-5P	Animalia
Hieracium glaucinum	COI-5P	Animalia
Alloborborus pallifrons	COI-5P	Animalia
Aradus betulae	COI-5P	Animalia
Upogebia stellata	COI-5P	Animalia
Oenothera lamarckiana	COI-5P	Animalia
Microtendipes rydalensis	COI-5P	Animalia
Cherax quadricarinatus	COI-5P	Animalia
Psectrocladius schlienzi	COI-5P	Animalia
Anopheles deaneorum	COI-5P	Animalia
Chrysomya megacephala	COI-5P	Animalia
Cotoneaster nummularius	COI-5P	Animalia
Tetramesa schmidti	COI-5P	Animalia
Sebacina incrustans	COI-5P	Animalia
Pseudolycoriella subbruckii	COI-5P	Animalia
Hylis procerulus	COI-5P	Animalia
Monorygma grimaldii	COI-5P	Animalia
Comatricha meandrispora	COI-5P	Animalia
Mahonia japonica	COI-5P	Animalia
Lavatera cretica	COI-5P	Animalia
Bardistus cibarius	COI-5P	Animalia
Geranium oxonianum	COI-5P	Animalia
Amblyaspis tritici	COI-5P	Animalia
Chyromya femorellum	COI-5P	Animalia
Polypedilum tetracrenatum	COI-5P	Animalia
Mesembryanthemum blandum	COI-5P	Animalia
Cotylurus brevis	COI-5P	Animalia
Hymenoscyphus limonium	COI-5P	Animalia
Multioppia laniseta	COI-5P	Animalia
Carulaspis minima	COI-5P	Animalia
Tipula stigmatella	COI-5P	Animalia
Melanospora lagenaria	COI-5P	Animalia
Dorcatoma substriata	COI-5P	Animalia
Monorcholepis dujardini	COI-5P	Animalia
Pisa armata	COI-5P	Animalia
Pseudanurophorus boerneri	COI-5P	Animalia
Sylvia subalpina	COI-5P	Animalia
Argulus japonicus	COI-5P	Animalia
Diplozoon paradoxum	COI-5P	Animalia
Marenzelleria neglecta	COI-5P	Animalia
Craspedolepta sonchi	COI-5P	Animalia
Amyrsidea perdicis	COI-5P	Animalia
Koeniginirmus ornatus	COI-5P	Animalia
Trioza velutina	COI-5P	Animalia
Saemundssonia occidentalis	COI-5P	Animalia
Rubus senticosus	COI-5P	Animalia
Tetrabothrius erostris	COI-5P	Animalia
Opisthioglyphe ranae	COI-5P	Animalia
Lasiomma seminitidum	COI-5P	Animalia
Placusa depressa	COI-5P	Animalia
Anopleta sodermani	COI-5P	Animalia
Hemilepton nitidum	COI-5P	Animalia
Ophonus parallelus	COI-5P	Animalia
Misgomyces dyschirii	COI-5P	Animalia
Bodotria arenosa	COI-5P	Animalia
Cinclus	COI-5P	Animalia
Ehrharta erecta	COI-5P	Animalia
Oxypoda nigrocincta	COI-5P	Animalia
Trichodectes (Stachiella)	COI-5P	Animalia
Heracleum sphondylium	COI-5P	Animalia
Cyclops divergens	COI-5P	Animalia
Xanthoriicola physciae	COI-5P	Animalia
Anaticola crassicornis	COI-5P	Animalia
Rubus vanwinkelii	COI-5P	Animalia
Clematis akebioides	COI-5P	Animalia
Plectrophenax nivalis	COI-5P	Animalia
Dysaphis aucupariae	COI-5P	Animalia
Calamagrostis calammophila	COI-5P	Animalia
Pseudococcyx tessulatana	COI-5P	Animalia
Tubpontania cyrnea	COI-5P	Animalia
Hemimycena mauretanica	COI-5P	Animalia
Lavatera thuringiaca	COI-5P	Animalia
Neoturris pileata	COI-5P	Animalia
Clastoderma debaryanum	COI-5P	Animalia
Stenacis euonymi	COI-5P	Animalia
Triteleia laxa	COI-5P	Animalia
Nassella trichotoma	COI-5P	Animalia
Prociphilus xylostei	COI-5P	Animalia
Cerinthe major	COI-5P	Animalia
Austromenopon limosae	COI-5P	Animalia
Phellinus rhamni	COI-5P	Animalia
Stegopterna trigonium	COI-5P	Animalia
Lichenodiplis lecanorae	COI-5P	Animalia
Hylesinus wachtli orni	COI-5P	Animalia
Bilobella braunerae	COI-5P	Animalia
Egle subarctica	COI-5P	Animalia
Xerocomus badius	COI-5P	Animalia
Lecanora sarcopidoides	COI-5P	Animalia
Syringa chinensis	COI-5P	Animalia
Prunus incisa	COI-5P	Animalia
Tremella versicolor	COI-5P	Animalia
Arthaldeus arenarius	COI-5P	Animalia
Leucogyrophana mollusca	COI-5P	Animalia
Athelopsis lacerata	COI-5P	Animalia
Keratella cochlearis	COI-5P	Animalia
Phoracantha semipunctata	COI-5P	Animalia
Calidris canutus	COI-5P	Animalia
Vesicularia spinosa	COI-5P	Animalia
Koeniginirmus punctatus	COI-5P	Animalia
Dolichomitus quercicolus	COI-5P	Animalia
Bostrychoplites cornutus	COI-5P	Animalia
Pseudeustrotia candidula	COI-5P	Animalia
Persicaria perfoliata	COI-5P	Animalia
Zonorchis petiolatum	COI-5P	Animalia
Cyrtidula quercus	COI-5P	Animalia
Caloptilia fidella	COI-5P	Animalia
Carex senayana	COI-5P	Animalia
Glycera unicornis	COI-5P	Animalia
